Test,Grp_Num,Grp_Num.1,Animal,Mouse_Number,Researcher,Trial,Time_Second,Pull.ups,Righting_Attempts,Limb_Score,Flip_Direction,Score,Epics,Score_Epic,Sex,Behavioral_Blinder,Pup_ID,Slide_Number,X,Surg_Grp,Time,Grp_Num.1.1,GestationalAge,Grp_Age,Grp.Sex,Grp_Sex_Age,Cage,Wgt,Lngth_cm
NG,5,15,BH0636,NA,BJ,T7,NA,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T2,22.8,NA,NA,NA,L,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
AM,5,15,BH0636,BH0636,BJ,T1,NA,NA,NA,NA,NA,8.12,1.62,0,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T5,NA,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,BH0636,BJ,T1,0,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T9,NA,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T3,6.1,NA,NA,NA,R,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T6,NA,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T8,NA,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
NG,5,15,BH0636,NA,BJ,T4,FAILED,NA,NA,NA,NA,NA,NA,NA,F,636,MH636,1636,636,N,96,15,13,N - 13,N - F,N(F) - 13,1712,7.209,9.9
AM,5,15,BH0637,BH0637,BJ,T1,NA,NA,NA,NA,NA,13.13,2.63,0,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T3,10.8,NA,NA,NA,L,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T5,NA,NA,NA,NA,NA,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T7,NA,NA,NA,NA,NA,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T9,NA,NA,NA,NA,NA,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T2,2.9,NA,NA,NA,L,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T4,NA,NA,NA,NA,NA,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T6,NA,NA,NA,NA,NA,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,NA,BJ,T8,NA,NA,NA,NA,NA,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0637,BH0637,BJ,T1,9.1,NA,NA,NA,R,NA,NA,NA,F,637,MH637,1637,637,N,96,15,13,N - 13,N - F,N(F) - 13,1712,6.8272,9.3
NG,5,15,BH0638,NA,BJ,T5,NA,NA,NA,NA,NA,NA,NA,NA,F,638,MH638,1638,638,N,96,15,13,N - 13,N - F,N(F) - 13,1712,5.8154,9.5
NG,5,15,BH0638,NA,BJ,T7,NA,NA,NA,NA,NA,NA,NA,NA,F,638,MH638,1638,638,N,96,15,13,N - 13,N - F,N(F) - 13,1712,5.8154,9.5
NG,5,15,BH0638,BH0638,BJ,T1,0,NA,NA,NA,NA,NA,NA,NA,F,638,MH638,1638,638,N,96,15,13,N - 13,N - F,N(F) - 13,1712,5.8154,9.5
NG,5,15,BH0638,NA,BJ,T8,NA,NA,NA,NA,NA,NA,NA,NA,F,638,MH638,1638,638,N,96,15,13,N - 13,N - F,N(F) - 13,1712,5.8154,9.5
NG,5,15,BH0638,NA,BJ,T6,NA,NA,NA,NA,NA,NA,NA,NA,F,638,MH638,1638,638,N,96,15,13,N - 13,N - F,N(F) - 13,1712,5.8154,9.5
NG,5,15,BH0638,NA,BJ,T9,NA,NA,NA,NA,NA,NA,NA,NA,F,638,MH638,1638,638,N,96,15,13,N - 13,N - F,N(F) - 13,1712,5.8154,9.5
