Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9000,8.679054327,8679.054327,S/H,48 HR,M,11971.36051,,,,,
9001,8.824897978,8824.897978,RV (P7),48 HR,M,14606.95121,,,,,
9002,8.949472764,8949.472764,S/H,24 HR,M,21294.59366,32547.30376,,,,
9003,7.870837428,7870.837428,S/H,24 HR,M,19422.64847,25240.19656,,,,
9004,9.028471408,9028.471408,Naïve,96 HR,M,15348.97136,,,,,
9005,8.817301955,8817.301955,RV (P7),96 HR,M,15600.36617,,,,,
9006,7.486478639,7486.478639,RV (P10),24 HR,M,14004.14431,,,,,
9007,7.78728117,7787.28117,RV (P10),24 HR,F,12975.58814,,,,,
9008,7.966547324,7966.547324,RV (P10),24 HR,F,16716.77535,,,,,
9009,9.036067431,9036.067431,RV (P10),24 HR,M,14421.78407,,,,,
9010,9.283697797,9283.697797,RV (P7),96 HR,F,16203.17306,,,,,
9011,8.238484965,8238.484965,RV (P7),96 HR,F,15092.17021,,,,,
9012,7.946797663,7946.797663,RV (P7),96 HR,M,16777.59668,,,,,
9013,8.864397301,8864.397301,S/H,48 HR,M,14296.08666,,,,,
9014,10.16635573,10166.35573,Naïve,96 HR,M,13709.49879,,,,,
9015,8.151890297,8151.890297,Naïve,96 HR,F,13183.73223,,,,,
9016,7.094523827,7094.523827,RV (P7),24 HR,F,15666.59383,,,,,
9017,8.223292918,8223.292918,RV (P7),24 HR,F,15353.02611,,,,,
9018,7.691571274,7691.571274,RV (P7),24 HR,M,16319.40937,,,,,
9019,6.869681532,6869.681532,RV (P7),24 HR,M,18180.54188,,,,,
9020,8.180755186,8180.755186,RV (P7),24 HR,M,15970.70045,,,,,
9021,7.228213841,7228.213841,RV (P7),24 HR,F,16342.38632,,,,,
9022,8.396059487,8396.059487,S/H,48 HR,M,15154.34312,,,,,
9023,9.898662803,9898.662803,S/H,48 HR,F,12424.14147,,,,,
9024,9.112859007,9112.859007,S/H,48 HR,F,15559.81862,,,,,
9025,11.09285925,11092.85925,S/H,96 HR,M,12863.40659,,,,,
9026,11.81106702,11811.06702,S/H,96 HR,F,15012.4267,,,,,
9027,10.71122336,10711.22336,S/H,96 HR,F,14362.31433,,,,,
9028,9.624053949,9624.053949,RV (P7),48 HR,F,20339.02309,,,,,
9029,9.308605831,9308.605831,RV (P7),48 HR,F,13851.41521,,,,,
9030,10.36197723,10361.97723,Naïve,48 HR,M,14479.90222,,,,,
9031,11.19143679,11191.43679,Naïve,48 HR,F,14829.96273,,,,,
9032,10.20425317,10204.25317,Naïve,48 HR,F,16669.46988,,,,,
9033,9.870497792,9870.497792,RV (P7),48 HR,F,13846.00887,,,,,
9034,11.06891899,11068.91899,RV (P10),48 HR,M,17783.1759,,,,,
9035,9.390284361,9390.284361,RV (P10),48 HR,M,15704.43821,,,,,
9036,9.445206132,9445.206132,L/H,24 HR,M,18963.10958,,,,,
9037,10.35071122,10350.71122,L/H,24 HR,F,21685.20172,30897.40534,,,,
9038,8.515760782,8515.760782,S/H,24 HR,F,16001.7869,,,,,
9039,9.853580975,9853.580975,S/H,24 HR,M,17137.677,,,,,
9040,10.55394288,10553.94288,S/H,96 HR,F,19303.53994,,,,,
9041,11.90609572,11906.09572,S/H,96 HR,M,28773.29315,27586.00994,,,,
9042,8.371383302,8371.383302,S/H,96 HR,M,24104.89352,28592.187,,,,
9043,16.25868044,16258.68044,L/H,24 HR,F,13387.08861,,,,,
9044,16.97941081,16979.41081,L/H,24 HR,M,12971.07137,,,,,
9045,13.83013245,13830.13245,L/H,96 HR,F,15276.32153,,,,,
9046,12.39180532,12391.80532,L/H,96 HR,M,15351.37618,,,,,
9047,14.02441629,14024.41629,L/H,96 HR,F,16288.48718,,,,,
9048,11.46112306,11461.12306,L/H,48 HR,M,16805.29209,,,,,
9049,12.82110993,12821.10993,L/H,48 HR,F,17727.39216,,,,,
9050,16.34955514,16349.55514,L/H,48 HR,F,19668.09113,,,,,
9051,11.68987661,11689.87661,L/H,48 HR,M,17148.3991,,,,,
9052,11.49872639,11498.72639,L/H,24 HR,F,16475.05161,,,,,
9053,13.29428509,13294.28509,L/H,24 HR,F,14675.88428,,,,,
