Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,ROI,Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,,ROI_1_Blank_Area,ROI_1_HScore_1,ROI_1_HScore_2,ROI_1_Heme_Area,ROI_1_MAP2_Area,ROI_1_Total_Area,Per_Heme,Per_Map,Ratio,Tissue_Gaps,Gap_Adj
1949_40x-1-3,1949,1798,L/H,M,α02,2,A1-3,A1,2024-03-11-Map2,ROI_1,1949_40x-1-3,1949,1798,L/H,M,α02,2,A1-3,2024-03-11-Map2,,TRUE,171848.8168,125.2624455,207.8275373,4001832.752,4056570.03,8230251.599,49.66037141,50.33962859,0.986506512,2.088014136,2.132541912
2162_40x-1,2162,1798,L/H,M,β02,2,A4-5,A4,2024-03-11-Map2,ROI_1,2162_40x-1,2162,1798,L/H,M,β02,2,A4-5,2024-03-11-Map2,,TRUE,1475659.724,137.8216987,156.7079497,18051410.68,14220979.02,33748049.42,55.93453367,44.06546633,1.269350771,4.372577821,4.572514579
2162_40x-2,2162,1798,L/H,M,β02,2,A4-5,A4,2024-03-11-Map2,ROI_1,2162_40x-2,2162,1798,L/H,M,β02,2,A4-5,2024-03-11-Map2,,TRUE,1097217.288,109.3358094,167.6637814,11677926.98,20010239.34,32785383.61,36.85264355,63.14735645,0.583597566,3.346666005,3.46254585
2162_40x-3,2162,1798,L/H,M,β02,2,A4-5,A4,2024-03-11-Map2,ROI_1,2162_40x-3,2162,1798,L/H,M,β02,2,A4-5,2024-03-11-Map2,,TRUE,800919.971,103.7882659,175.0965263,8497798.58,20294802.26,29593520.82,29.51382762,70.48617238,0.418717979,2.706403121,2.781686778
3290_40x-1-4,3290,1921,N,M,β01,1,A4-5,A4,2024-03-11-Map2,ROI_1,3290_40x-1-4,3290,1921,RV 10,M,β01,1,A4-5,2024-03-11-Map2,,TRUE,2407421.794,163.1527589,156.7990786,33447717.09,4129354.872,39984493.76,89.01097223,10.98902777,8.099986107,6.020888519,6.406624221
3663_40x-1,3663,1889,N,F,α03,3,A1-3,A1,2024-03-11-Map2,ROI_1,3663_40x-1,3663,1889,N,F,α03,3,A1-3,2024-03-11-Map2,,TRUE,1007978.623,153.838495,185.2395675,6626177.265,3506346.524,11140502.41,,,,,
3663_40x-2,3663,1889,N,F,α03,3,A1-3,A1,2024-03-11-Map2,ROI_1,3663_40x-2,3663,1889,N,F,α03,3,A1-3,2024-03-11-Map2,,TRUE,1017899.025,106.0267822,186.9461637,9417311.827,14258678.73,24693889.58,39.77578807,60.22421193,0.660461744,4.122068424,4.299288018
3663_40x-3,3663,1889,N,F,α03,3,A1-3,A1,2024-03-11-Map2,ROI_1,3663_40x-3,3663,1889,N,F,α03,3,A1-3,2024-03-11-Map2,,TRUE,2291034.027,100.7059937,173.2576331,13750709.53,21913882.44,37955626,38.55563395,61.44436605,0.627488514,6.036085473,6.423833557
4460_40x-1-3,4460,1921,N,M,α01,1,A1-3,A1,2024-03-11-Map2,ROI_1,4460_40x-1-3,4460,1921,RV 10,M,α01,1,A1-3,2024-03-11-Map2,,TRUE,601975.4714,166.7865542,207.8876746,7106930.668,2923016.843,10631922.98,,,,,
1919-01-A_40X_4,4049,1919,N,F,01A,1,A1,A1,2024-03-11-Map2,ROI_1,1919-01-A_40X_4,4049,1919,RV 10,F,01A,1,A1,2024-03-11-Map2,,TRUE,2177971.134,120.6817034,143.6379001,6106460.167,8172147.411,16456578.71,42.7664962,57.2335038,0.747228343,13.23465328,15.25338604
