Pup_ID,Slide_Number,SlideNumber,Surg_Grp,PerfusionPoint,Wgt,Lngth_cm,Sex,Sex_Num,Pinchresponse,Pinch_Response/Activity,Response_Num
05.21.012.,05.21.012.,,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
06.08.009.,06.08.009.,,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
07.10.20.18.,07.10.20.18.,,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
07.10.20.15.,07.10.20.15.,,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
07.29.20.,07.29.20.,,DBX,48 HR,NA,NA,NA,NA,NA,NA,NA
08.24.20.,08.24.20.,,DBX,48 HR,NA,NA,NA,NA,NA,NA,NA
MH003,1003,3,S/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH005,1005,5,S/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH001,1001,1,S/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH022,1022,22,S/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH025,1025,25,S/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH027,1027,27,S/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH046,1046,46,S/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH049,1049,49,S/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH053,1053,53,S/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH058,1058,58,S/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH061,1061,61,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH063,1063,63,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH064,1064,64,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH065,1065,65,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH073,1073,73,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH074,1074,74,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH075,1075,75,L/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH078,1078,78,S/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH085,1085,85,S/H,48 HR,NA,NA,NA,NA,NA,NA,NA
MH095,1095,95,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH097,1097,97,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH101,1101,101,L/N,48 HR,NA,NA,NA,NA,NA,NA,NA
MH130,1130,130,N,48 HR,6.09,9,M,0,R,Rapid,5
MH131,1131,131,N,48 HR,6.19,8.9,M,0,R,Rapid,5
MH132,1132,132,N,48 HR,6.18,8.8,M,0,R,Rapid,5
MH133,1133,133,N,48 HR,5.94,9.1,M,0,R,Rapid,5
MH134,1134,134,N,48 HR,5.75,8.9,M,0,L,Lathargic,1
MH135,1135,135,N,48 HR,5.8,8.8,M,0,R,Rapid,5
MH136,1136,136,N,48 HR,6.48,9,F,1,R,Rapid,5
MH137,1137,137,N,48 HR,5.75,8,F,1,R,Rapid,5
MH138,1138,138,N,48 HR,6.7,8.9,F,1,M,Moderate,3
MH139,1139,139,N,48 HR,6.8,9,M,0,R,Rapid,5
MH140,1140,140,N,48 HR,6.28,9.1,M,0,L,Lathargic,1
MH141,1141,141,N,48 HR,5,8.2,F,1,R,Rapid,5
MH142,1142,142,N,48 HR,5.96,8.5,M,0,L,Lathargic,1
MH144,1144,144,L/H,48 HR,4.72,7.8,F,1,R,Jerky,5
MH145,1145,145,L/H,48 HR,3.88,7.6,F,1,R,Jumpy,5
MH146,1146,146,L/H,48 HR,3.74,7.3,M,0,L,Lathargic,1
MH147,1147,147,L/H,48 HR,4.35,7.7,M,0,L,Lathargic,1
MH148,1148,148,L/N,48 HR,1.92,5.5,F,1,R,Rapid,5
