R0001,GFAP,0,25.07,,,Variant,Number,Sample,Time,,Class,Group,0,Average,0.1,0.2,0.3,0.4,0.5,0.6,Average,DeltaCq,DeltaDeltaCt,DeltaDeltaCt-SH,FoldChange,FoldChange-SH,,DeltaCqExp,DeltaCqExp,,FoldChange-N,FoldChange-SH,,,,,,,,,
R0001,IL-1B,0.1,32.95,,,0,1,R0001,48,RV (P10),RV (P10) 48 HR,Treatment 2,25.07,25.07,32.95,32.74,32.92,,,,32.87,7.8,7.8,7.8,0.004487103,0.004487103,,0.004487103,0.004487103,,0.005002423,0.311716741,,,,,,,,Average DeltaCq,FoldChange
R0001,IL-1B,0.2,32.74,,,0.1,1,R0001,48,RV (P10),RV (P10) 48 HR,Treatment 2,25.07,25.07,32.95,32.95,32.95,,,,32.95,7.88,7.88,7.88,0.004245058,0.004245058,,0.004245058,0.004245058,,0.004732581,0.294902007,,,,,L/H,24,L/H 24,0.435863442,42.09384912
R0001,IL-1B,0.3,32.92,,,0.2,1,R0001,48,RV (P10),RV (P10) 48 HR,Treatment 2,25.07,25.07,32.74,32.74,32.74,,,,32.74,7.67,7.67,7.67,0.004910208,0.004910208,,0.004910208,0.004910208,,0.005474121,0.341109667,,,,,L/H,48,L/H 48,0.091323953,0.101812037
R0002,GFAP,0,27.02,,,0.3,1,R0001,48,RV (P10),RV (P10) 48 HR,Treatment 2,25.07,25.07,32.92,32.92,32.92,,,,32.92,7.85,7.85,7.85,0.004334256,0.004334256,,0.004334256,0.004334256,,0.004832023,0.301098525,,,,,L/H,96,L/H 96,0.108964991,0.096164142
R0002,IL-1B,0.1,34.05,,,0.4,1,R0001,48,RV (P10),RV (P10) 48 HR,Treatment 2,25.07,25.07,,,,,,,,,,,,,,,,,,,,,,,S/H,24,S/H 24,0.011829935,1.142485108
R0002,IL-1B,0.2,33.37,,,0,2,R0002,48,RV (P10),RV (P10) 48 HR,Treatment 2,27.02,27.02,34.05,33.37,33.56,,,,33.66,6.64,6.64,6.64,0.010026765,0.010026765,,0.010026765,0.010026765,,0.011178287,0.696554212,,,,,S/H,48,S/H 48,0.014394809,0.016047978
R0002,IL-1B,0.3,33.56,,,0.1,2,R0002,48,RV (P10),RV (P10) 48 HR,Treatment 2,27.02,27.02,34.05,34.05,34.05,,,,34.05,7.03,7.03,7.03,0.007651721,0.007651721,,0.007651721,0.007651721,,0.008530482,0.53156114,,,,,S/H,96,S/H 96,0.022994782,0.020293431
R0003,GFAP,0,26.74,,,0.2,2,R0002,48,RV (P10),RV (P10) 48 HR,Treatment 2,27.02,27.02,33.37,33.37,33.37,,,,33.37,6.35,6.35,6.35,0.012259127,0.012259127,,0.012259127,0.012259127,,0.013667024,0.851635235,,,,,RV (P7) ,24,RV (P7)  24,0.020278155,1.958378466
R0003,IL-1B,0.1,34.5,,,0.3,2,R0002,48,RV (P10),RV (P10) 48 HR,Treatment 2,27.02,27.02,33.56,33.56,33.56,,,,33.56,6.54,6.54,6.54,0.01074642,0.01074642,,0.01074642,0.01074642,,0.011980591,0.74654832,,,,,RV (P7) ,48,RV (P7)  48,0.007930446,0.008841217
R0003,IL-1B,0.2,33.86,,,0.4,2,R0002,48,RV (P10),RV (P10) 48 HR,Treatment 2,27.02,27.02,,,,,,,,,,,,,,,,,,,,,,,RV (P7) ,96,RV (P7)  96,0.019014901,0.016781093
R0003,IL-1B,0.3,34.53,,,0,3,R0003,48,RV (P10),RV (P10) 48 HR,Treatment 2,26.74,26.74,34.5,33.86,34.53,,,,34.29666667,7.556666667,7.556666667,7.556666667,0.005311494,0.005311494,,0.005311494,0.005311494,,0.005921491,0.36898674,,,,,RV (P10),24,RV (P10) 24,0.083004492,8.016222983
R0004,GFAP,0,27.37,,,0.1,3,R0003,48,RV (P10),RV (P10) 48 HR,Treatment 2,26.74,26.74,34.5,34.5,34.5,,,,34.5,7.76,7.76,7.76,0.004613253,0.004613253,,0.004613253,0.004613253,,0.005143061,0.320480292,,,,,RV (P10),48,RV (P10) 48,0.006964861,0.007764739
R0004,IL-1B,0.1,34.26,,,0.2,3,R0003,48,RV (P10),RV (P10) 48 HR,Treatment 2,26.74,26.74,33.86,33.86,33.86,,,,33.86,7.12,7.12,7.12,0.007188966,0.007188966,,0.007188966,0.007188966,,0.008014582,0.499413784,,,,,RV (P10),96,RV (P10) 96,0.008623114,0.007610099
R0004,IL-1B,0.2,33.83,,,0.3,3,R0003,48,RV (P10),RV (P10) 48 HR,Treatment 2,26.74,26.74,34.53,34.53,34.53,,,,34.53,7.79,7.79,7.79,0.004518313,0.004518313,,0.004518313,0.004518313,,0.005037218,0.313884903,,,,,N,24,N 24,0.010354564,1
R0004,IL-1B,0.3,34.5,,,0.4,3,R0003,48,RV (P10),RV (P10) 48 HR,Treatment 2,26.74,26.74,,,,,,,,,,,,,,,,,,,,,,,N,48,N 48,0.896985823,1
R0005,GFAP,0,27.67,,,0,4,R0004,48,S/H,S/H 48 HR,Treatment 2,27.37,27.37,34.26,33.83,34.5,,,,34.19666667,6.826666667,6.826666667,6.826666667,0.008809851,0.008809851,,0.008809851,0.008809851,,0.009821617,0.612015832,,,,,N,96,N 96,1.133114577,1
R0005,IL-1B,0.1,33.68,,,0.1,4,R0004,48,S/H,S/H 48 HR,Treatment 2,27.37,27.37,34.26,34.26,34.26,,,,34.26,6.89,6.89,6.89,0.008431471,0.008431471,,0.008431471,0.008431471,,0.009399781,0.58572994,,,,,,,,,
R0005,IL-1B,0.2,33.9,,,0.2,4,R0004,48,S/H,S/H 48 HR,Treatment 2,27.37,27.37,33.83,33.83,33.83,,,,33.83,6.46,6.46,6.46,0.01135916,0.01135916,,0.01135916,0.01135916,,0.012663701,0.789115042,,,,,,,,,
R0005,IL-1B,0.3,33.74,,,0.3,4,R0004,48,S/H,S/H 48 HR,Treatment 2,27.37,27.37,34.5,34.5,34.5,,,,34.5,7.13,7.13,7.13,0.007139308,0.007139308,,0.007139308,0.007139308,,0.007959221,0.495964081,,,,,,,,,
R0006,GFAP,0,27.82,,,0.4,4,R0004,48,S/H,S/H 48 HR,Treatment 2,27.37,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0006,IL-1B,0.1,33.82,,,0,5,R0005,48,S/H,S/H 48 HR,Treatment 2,27.67,27.67,33.68,33.9,33.74,,,,33.77333333,6.103333333,6.103333333,6.103333333,0.014544996,0.014544996,,0.014544996,0.014544996,,0.016215413,1.010433385,,,,,,,,,
R0006,IL-1B,0.2,34.32,,,0.1,5,R0005,48,S/H,S/H 48 HR,Treatment 2,27.67,27.67,33.68,33.68,33.68,,,,33.68,6.01,6.01,6.01,0.01551707,0.01551707,,0.01551707,0.01551707,,0.017299125,1.077962915,,,,,,,,,
R0006,IL-1B,0.3,34.08,,,0.2,5,R0005,48,S/H,S/H 48 HR,Treatment 2,27.67,27.67,33.9,33.9,33.9,,,,33.9,6.23,6.23,6.23,0.01332242,0.01332242,,0.01332242,0.01332242,,0.014852431,0.9255017,,,,,,,,,
R0007,GFAP,0,28.31,,,0.3,5,R0005,48,S/H,S/H 48 HR,Treatment 2,27.67,27.67,33.74,33.74,33.74,,,,33.74,6.07,6.07,6.07,0.014884969,0.014884969,,0.014884969,0.014884969,,0.01659443,1.034051146,,,,,,,,,
R0007,IL-1B,0.1,33.57,,,0.4,5,R0005,48,S/H,S/H 48 HR,Treatment 2,27.67,27.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0007,IL-1B,0.2,34.3,,,0,6,R0006,48,S/H,S/H 48 HR,Treatment 2,27.82,27.82,33.82,34.32,34.08,,,,34.07333333,6.253333333,6.253333333,6.253333333,0.013108684,0.013108684,,0.013108684,0.013108684,,0.014614148,0.910653556,,,,,,,,,
R0007,IL-1B,0.3,34.65,,,0.1,6,R0006,48,S/H,S/H 48 HR,Treatment 2,27.82,27.82,33.82,33.82,33.82,,,,33.82,6,6,6,0.015625,0.015625,,0.015625,0.015625,,0.01741945,1.08546074,,,,,,,,,
R0008,GFAP,0,27.5,,,0.2,6,R0006,48,S/H,S/H 48 HR,Treatment 2,27.82,27.82,34.32,34.32,34.32,,,,34.32,6.5,6.5,6.5,0.011048543,0.011048543,,0.011048543,0.011048543,,0.012317411,0.76753665,,,,,,,,,
R0008,IL-1B,0.1,33.57,,,0.3,6,R0006,48,S/H,S/H 48 HR,Treatment 2,27.82,27.82,34.08,34.08,34.08,,,,34.08,6.26,6.26,6.26,0.013048249,0.013048249,,0.013048249,0.013048249,,0.014546773,0.906455151,,,,,,,,,
R0008,IL-1B,0.2,34.15,,,0.4,6,R0006,48,S/H,S/H 48 HR,Treatment 2,27.82,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0008,IL-1B,0.3,33.82,,,0,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,33.57,34.3,34.65,,,,34.17333333,5.863333333,5.863333333,5.863333333,0.017177533,0.017177533,,0.017177533,0.017177533,,0.019150284,1.193314413,,,,,,,,,
R0009,GFAP,0,27.22,,,0.1,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,33.57,33.57,33.57,,,,33.57,5.26,5.26,5.26,0.026096497,0.026096497,,0.026096497,0.026096497,,0.029093545,1.812910301,,,,,,,,,
R0009,IL-1B,0.1,32.15,,,0.2,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,34.3,34.3,34.3,,,,34.3,5.99,5.99,5.99,0.01573368,0.01573368,,0.01573368,0.01573368,,0.017540612,1.093010716,,,,,,,,,
R0009,IL-1B,0.2,32.09,,,0.3,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,34.65,34.65,34.65,,,,34.65,6.34,6.34,6.34,0.012344395,0.012344395,,0.012344395,0.012344395,,0.013762085,0.857558827,,,,,,,,,
R0009,IL-1B,0.3,32.64,,,0.4,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0010,GFAP,0,26.96,,,0,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,33.57,34.15,33.82,,,,33.84666667,6.346666667,6.346666667,6.346666667,0.012287484,0.012287484,,0.012287484,0.012287484,,0.013698638,0.853605205,,,,,,,,,
R0010,IL-1B,0.1,34.09,,,0.1,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,33.57,33.57,33.57,,,,33.57,6.07,6.07,6.07,0.014884969,0.014884969,,0.014884969,0.014884969,,0.01659443,1.034051146,,,,,,,,,
